ID,iNSC_1,iNSC_2,iNSC_3,HNF_1,HNF_2,HNF_3,WT-NSC_1,WT-NSC_2,WT-NSC_3
AK3,726.199,820.529,607.054,534.971,1047.39,1303.64,784.27,578.74,605.616
AK4,14.6075,9.71563,11.903,55.709,58.8554,403.488,70.9778,170.851,42.0427
AK5,121.033,98.0395,140.672,1033.89,648.61,386.849,52.7063,36.9408,37.0377
AK6,143.988,122.77,108.209,247.414,206.594,377.698,140.55,98.5089,162.165
AK7,14.6075,22.081,17.3135,4.09625,1.20113,1.66387,14.7578,16.9312,12.0122
AK9,29.2149,31.7966,31.3807,6.554,28.8271,74.874,56.2201,47.7152,54.055
AKAP1,272.325,267.621,283.508,136.815,174.164,94.8404,321.157,377.104,294.299
AKAP10,277.542,318.849,239.142,101.587,319.501,646.412,292.344,290.909,311.317
AKAP11,859.753,1021.02,941.42,186.789,1000.54,1157.22,664.099,755.748,750.763
AKAP12,3752.03,4378.21,3606.61,596.414,1365.68,1581.51,1944.51,2005.58,1565.59
AKAP13,852.449,1039.57,891.644,367.843,880.428,300.328,809.569,997.402,987.003
AKAP17A,339.102,196.962,331.12,333.435,154.946,115.639,283.209,269.36,305.31
AKAP2,1137.29,1413.18,1310.41,1024.88,1511.02,2994.96,865.789,769.601,819.834
AKAP3,35.4753,37.096,20.5598,1,1,10.8151,11.244,13.8528,4.00407
AKAP5,36.5186,60.0602,40.0374,4.9155,19.2181,10.8151,68.1668,60.0288,66.0672
AKAP6,639.598,705.708,655.748,11.4695,40.8384,691.337,248.774,312.458,279.284
AKAP7,64.6902,68.8926,60.5972,27.0353,31.2294,53.2438,341.537,320.154,265.27
AKAP8,298.409,216.393,240.224,230.209,177.767,101.496,321.86,357.095,294.299
AKAP8L,828.452,634.165,695.785,558.729,202.991,365.219,643.72,789.61,688.7
AKAP9,424.66,570.572,478.285,98.3101,544.112,739.589,1411.12,1162.1,1541.57
AKIP1,123.12,121.004,116.866,420.275,158.549,244.588,115.251,113.901,102.104
AKIRIN1,767.935,801.097,768.285,334.254,296.679,727.11,854.545,845.021,914.93
AKIRIN2,547.78,571.455,477.203,493.189,374.753,298.664,580.472,527.946,579.589
AKNA,78.2542,63.5932,81.1569,187.608,106.901,227.118,76.5998,133.91,167.17
AKR1A1,359.969,309.134,338.695,1595.9,700.259,514.135,361.917,417.123,422.429
AKR1B1,872.274,813.463,816.98,5166.19,2907.94,3389.3,634.584,664.935,588.598
