ID,iNSC_1,iNSC_2,iNSC_3,HNF_1,HNF_2,HNF_3,WT-NSC_1,WT-NSC_2,WT-NSC_3
CXCL12,53.2129,64.4764,57.3509,6127.17,9031.3,618.959,55.5173,43.0976,39.0397
CXCL14,38.6054,37.9793,72.5002,67.1785,87.6825,14.1429,2219.99,2082.54,2422.46
CXCL16,19.8244,12.3653,10.8209,32.77,6.00565,74.0421,39.354,58.4896,46.0468
CXCL2,1,1,1.08209,28.6738,15.6147,213.807,12.6495,7.69601,28.0285
CXCL3,1,1,1,3.277,1.20113,49.916,4.91926,6.1568,18.0183
CXCL5,1,1,1,4.9155,6.00565,23.2941,20.3798,30.784,38.0387
CXCL6,1,1,1,54.0705,66.0621,10.8151,170.066,66.1856,133.135
CXCL8,1.04339,3.53295,1.08209,59.8053,104.498,897.656,4.2165,3.0784,33.0336
CXCR4,236.849,221.693,180.709,1,1,1,512.305,454.064,379.386
CXXC1,270.238,185.48,361.419,474.346,254.64,111.479,256.504,332.467,303.308
CXXC4,348.492,339.164,290.001,1,1,1,50.5981,50.7936,52.0529
CXXC5,271.281,149.267,484.777,59.8053,64.861,29.9496,213.636,377.104,373.38
CXorf23,135.641,160.749,110.373,63.0823,108.102,160.563,201.689,180.087,191.194
CXorf36,1,1,1,1,1,1,13.3523,7.69601,10.0102
CXorf38,190.94,181.064,170.971,122.068,112.906,191.345,227.691,209.331,205.209
CXorf40A,75.1241,83.9077,99.5525,167.946,45.6429,86.5211,78.0053,135.45,73.0743
CXorf40B,177.376,144.851,170.971,353.097,99.6938,202.992,159.524,173.93,176.179
CXorf56,145.031,147.501,115.784,234.306,204.192,118.967,145.469,81.5777,120.122
CXorf57,79.2976,63.5932,67.0897,1,2.40226,14.9748,150.389,155.459,122.124
CYB561,186.767,110.405,155.821,657.858,302.685,153.908,207.311,246.272,291.296
CYB561A3,277.542,184.597,255.374,713.567,267.852,320.294,342.942,417.123,385.392
CYB561D1,231.633,203.145,245.635,206.451,153.745,142.261,191.851,184.704,219.223
CYB561D2,108.513,67.1261,120.112,342.447,93.6881,99.832,76.5998,75.4209,80.0814
CYB5A,56.343,79.4915,55.1867,364.566,235.421,439.261,148.983,166.234,163.166
CYB5B,962.005,1081.97,904.629,1102.71,999.34,1330.26,857.356,815.777,784.798
CYB5D1,189.897,222.576,202.351,116.334,172.963,132.277,183.418,177.008,180.183
CYB5D2,247.283,152.8,282.426,289.195,168.158,94.0085,213.636,277.056,225.229
CYB5R1,324.494,326.798,333.284,655.4,408.384,569.875,449.76,403.271,517.526
CYB5R2,71.9939,57.4105,43.2837,738.964,319.501,523.286,81.5191,32.3232,43.0438
CYB5R3,1156.08,860.274,1864.44,3129.54,1388.51,1939.24,988.068,1736.22,1332.35
CYB5R4,93.9051,139.552,106.045,99.1293,99.6938,338.597,96.9796,73.8817,87.0885
CYB5RL,37.562,57.4105,72.5002,15.5658,54.0508,19.9664,31.6238,50.7936,44.0448
CYBA,1,1.76648,1.08209,574.295,159.75,39.1009,10.5413,15.392,9.00916
CYBRD1,953.658,1219.75,987.95,2068.61,4541.47,2465.02,1137.05,1259.07,1203.22
CYC1,519.608,378.026,560.524,1559.03,315.897,562.387,298.669,523.328,370.377
CYCS,750.197,943.299,695.785,639.835,491.262,1743.73,712.589,641.847,674.686
CYFIP1,1452.4,1399.05,1705.38,652.123,820.372,1016.62,2182.04,3015.29,2262.3
CYFIP2,636.468,601.486,653.584,77.0095,75.6712,206.32,651.45,734.199,723.736
CYGB,9.39051,4.41619,8.65674,599.691,302.685,38.2689,4.2165,7.69601,7.00712
CYHR1,201.374,78.6082,201.269,555.452,741.097,94.0085,139.145,206.253,196.199
CYLD,318.234,392.158,278.098,334.254,607.772,1081.51,676.046,563.348,720.733
CYP19A1,1.04339,2.64972,1,9.83101,4.80452,17.4706,2.811,9.23521,3.00305
CYP1A1,2.08678,1,4.32837,1,1,29.1177,18.2715,26.1664,24.0244
CYP1B1,874.361,1069.6,968.473,421.914,1017.36,531.606,690.101,614.141,633.644
CYP20A1,206.591,211.977,213.172,342.447,1282.81,153.908,187.634,150.842,186.189
CYP24A1,1,1,1,9.01175,24.0226,1,1,1,3.00305
CYP26B1,1,1,1.08209,8.1925,26.4249,48.2521,23.1908,35.4016,22.0224
CYP27A1,61.56,53.8776,57.3509,750.433,283.467,79.8656,105.413,161.616,146.149
CYP27B1,4.17356,2.64972,2.16418,10.6503,1,4.9916,18.9743,15.392,19.0193
CYP27C1,16.6942,14.1318,12.9851,33.5893,46.8441,4.9916,23.1908,15.392,19.0193
CYP2D7P,4.17356,2.64972,3.24628,13.108,1,1,6.32476,13.8528,19.0193
CYP2E1,7.30373,7.06591,8.65674,4.09625,4.80452,1.66387,50.5981,20.0096,23.0234
CYP2J2,1,8.83239,1.08209,2.45775,1,3.32773,33.732,32.3232,37.0377
CYP2R1,41.7356,59.177,47.6121,69.6363,121.314,100.664,74.4916,73.8817,44.0448
CYP2S1,1,1,1,49.155,19.2181,4.15967,1,1,1.00102
CYP2U1,125.207,159.866,156.903,116.334,177.767,184.689,170.066,129.293,141.143
CYP39A1,1,1,1.08209,2.45775,7.20678,8.31934,36.543,26.1664,29.0295
CYP46A1,3.13017,2.64972,10.8209,3.277,1,1,14.7578,15.392,15.0153
CYP4F24P,1,1,1.08209,1,1,1,64.6531,75.4209,44.0448
CYP4F29P,1,1,1,1,1,1,39.354,24.6272,17.0173
CYP4V2,194.071,239.358,162.314,181.054,300.282,91.5127,240.341,269.36,247.251
CYP51A1,676.117,780.783,776.942,1570.5,1243.17,746.244,1861.59,1606.93,1889.92
CYP7B1,1,1,1.08209,32.77,85.2802,52.4118,1.4055,7.69601,3.00305
CYR61,631.251,880.589,901.383,8806.94,7412.17,6146.33,909.359,663.396,530.539
CYS1,17.7376,12.3653,41.1195,61.4438,21.6203,14.9748,8.43301,10.7744,12.0122
CYSTM1,85.558,47.6949,91.9778,502.201,91.2859,386.017,278.992,350.938,390.397
CYTH1,174.246,164.282,139.59,136.815,124.918,94.8404,264.234,298.605,263.268
CYTH2,1992.87,1289.53,1731.35,1039.63,397.574,346.916,1167.27,1291.39,1245.27
CYTH3,180.506,174.881,193.695,432.564,613.777,331.942,411.109,497.162,455.463
CYTL1,28.1715,15.8983,16.2314,9.01175,1,3.32773,157.416,153.92,149.152
CYYR1,6.26034,3.53295,7.57465,7.37325,8.40791,4.9916,45.6788,43.0976,34.0346
D2HGDH,90.7749,31.7966,142.836,117.153,56.4531,17.4706,60.4366,107.744,77.0784
DAAM1,166.942,272.038,200.187,53.2513,121.314,147.252,260.018,209.331,259.264
DAAM2,93.9051,82.1412,115.784,212.186,415.591,231.278,244.557,397.114,367.374
DAB1,17.7376,29.1469,29.2165,1,1,2.4958,63.9503,86.1953,65.0662
DAB2,455.961,694.226,496.68,2053.04,2689.33,6341,347.862,327.85,379.386
DAB2IP,364.143,232.292,481.531,478.442,258.243,219.63,527.766,915.825,707.72
DACH1,66.7769,86.5574,70.336,36.047,50.4475,4.15967,132.117,92.3521,86.0875
DACT1,259.804,265.855,262.948,18.8428,67.2633,43.2605,82.9246,56.9504,71.0723
DACT2,1,1,1.08209,1,1,1,24.5963,29.2448,23.0234
DACT3,57.3864,46.8116,33.5449,309.677,68.4644,133.109,80.1136,76.9601,59.06
DAD1,828.452,830.244,716.345,3038.6,1073.81,1376.85,670.424,672.631,673.685
DAG1,5464.23,4319.04,6609.42,1124.83,911.658,935.925,2931.17,4285.14,3249.3
DAGLA,17.7376,8.83239,33.5449,23.7583,8.40791,22.4622,75.1943,164.695,114.116
DAGLB,224.329,151.917,212.09,221.198,163.354,181.362,222.069,317.075,244.248
DAK,95.9919,52.1111,99.5525,280.184,91.2859,103.992,98.3851,121.597,122.124
DALRD3,329.711,279.103,248.881,647.208,177.767,140.597,190.445,215.488,166.169
DANCR,190.94,174.881,133.097,233.486,104.498,35.7731,171.471,175.469,135.137
DAP,736.633,623.566,778.024,1671.27,1190.32,1486.67,903.035,978.932,883.899
DAP3,593.689,652.713,519.404,868.405,751.907,1009.14,605.068,529.485,544.554
DAPK1,812.801,693.342,851.607,27.8545,115.308,140.597,292.344,401.731,350.356
DAPK2,41.7356,45.0452,40.0374,133.538,62.4588,47.4202,28.8128,27.7056,20.0204
DAPK3,302.583,223.459,356.008,478.442,245.03,253.74,314.13,441.751,437.445
DARS,924.443,968.913,860.263,598.872,1041.38,1679.67,545.335,538.72,580.59
DARS2,473.699,627.983,533.471,81.1058,102.096,345.252,200.284,180.087,180.183
DAXX,620.817,506.096,531.307,974.908,533.302,352.74,612.799,532.564,540.55
DAZAP1,339.102,257.906,424.18,919.199,570.537,398.496,352.781,312.458,370.377
DAZAP2,1734.11,1680.8,1497.62,1475.47,1338.06,1799.47,808.163,951.226,897.913
DBF4,141.901,185.48,130.933,121.249,130.923,158.067,189.04,109.283,142.145
DBF4B,208.678,143.968,152.575,117.153,51.6486,53.2438,104.007,95.4305,130.132
DBI,677.16,715.423,546.457,3327.8,1201.13,762.051,920.604,918.903,860.875
DBN1,1603.69,968.913,2769.07,1412.39,1340.46,932.598,2421.68,3329.29,3004.05
DBNDD1,227.459,185.48,300.822,41.7818,7.20678,19.1345,501.764,668.013,528.537
DBNDD2,29.2149,32.6798,34.6269,444.853,134.527,208.815,76.5998,93.8913,59.06
DBNL,434.05,302.951,564.852,1979.31,1102.64,733.765,385.107,594.132,493.502
DBP,55.2997,38.8625,64.9255,86.0213,51.6486,10.8151,21.0825,35.4016,28.0285
DBR1,149.205,181.064,136.344,58.986,116.51,117.303,164.444,130.832,133.135
DBT,220.155,284.403,266.195,141.73,305.087,261.227,195.365,180.087,252.256
DCAF10,283.802,326.798,256.456,344.085,605.369,419.295,231.205,246.272,258.263
DCAF11,757.501,666.845,640.599,613.619,399.976,358.563,539.01,609.524,570.58
DCAF12,612.47,733.971,562.688,166.308,277.461,303.656,621.934,537.181,548.558
DCAF13,301.54,350.646,247.799,333.435,450.424,656.396,308.508,230.88,283.288
DCAF13P3,6.26034,7.94915,9.73883,39.324,10.8102,25.7899,11.9468,9.23521,14.0142
DCAF15,148.161,77.725,183.956,100.768,39.6373,43.2605,126.495,193.939,163.166
DCAF16,416.313,448.685,397.128,172.862,397.574,128.95,476.465,478.692,402.409
DCAF17,217.025,213.744,162.314,82.7443,171.762,389.345,288.128,226.263,267.272
DCAF4,79.2976,82.1412,51.9404,219.559,103.297,123.958,174.985,121.597,127.129
DCAF5,992.264,912.386,933.846,458.78,523.693,404.32,775.134,752.669,788.802
DCAF6,533.172,682.743,528.061,701.278,1012.55,836.925,528.469,381.722,458.466
DCAF7,1508.74,1688.75,1548.47,561.187,894.842,496.664,1256.52,1517.65,1269.29
DCAF8,1023.57,1024.56,1004.18,935.584,831.182,681.354,1128.62,1206.73,1133.15
DCAKD,339.102,287.936,409.031,375.217,141.733,162.227,312.021,386.339,341.347
DCBLD1,339.102,396.574,331.12,40.1433,195.784,292.841,124.387,156.999,120.122
DCBLD2,7355.9,9739.47,7902.52,968.354,1308.03,1942.56,5980.41,4415.97,4808.89
DCC,517.521,711.89,739.069,1,1,1,639.503,729.581,712.725
DCDC2,3.13017,1,1.08209,1.6385,1,1,35.8403,40.0192,42.0427
DCHS1,1444.05,911.502,2019.18,529.236,490.061,588.177,1544.65,3138.43,2419.46
DCHS2,8.34712,12.3653,11.903,1,2.40226,2.4958,1.4055,3.0784,2.00204
DCK,166.942,221.693,216.418,53.2513,134.527,268.715,223.475,143.146,163.166
DCLK1,249.37,365.661,388.471,45.878,67.2633,50.748,2369.68,2385.76,2174.21
DCLK2,639.598,578.521,747.726,158.935,122.515,163.059,1739.31,1873.21,1433.46
DCLRE1A,173.203,245.54,173.135,36.8663,126.119,197.168,150.389,100.048,154.157
DCLRE1B,90.7749,101.572,106.045,63.9015,64.861,88.185,139.847,132.371,125.127
DCLRE1C,141.901,164.282,116.866,190.066,1314.04,171.378,130.009,106.205,126.128
DCN,3.13017,8.83239,6.49255,9836.74,18197.1,8207.03,9.13576,10.7744,3.00305
DCP1A,335.972,354.179,309.478,196.62,1047.39,464.219,406.893,370.947,425.433
DCP1B,164.856,141.318,169.888,168.766,140.532,230.446,92.7631,95.4305,94.0957
DCP2,372.49,491.081,386.307,120.43,213.801,313.639,479.276,420.202,373.38
DCPS,145.031,115.704,139.59,207.27,75.6712,105.656,63.9503,80.0385,79.0804
DCT,1,1,1,1,1,1,22.488,29.2448,28.0285
DCTD,593.689,584.704,539.964,1048.64,837.188,1209.63,554.47,584.896,513.522
DCTN1,2347.63,1845.09,2598.1,3189.34,2467.12,1900.97,1861.59,2524.29,2062.1
DCTN2,1598.47,1539.48,1349.37,2288.17,1464.18,1126.44,1164.46,1114.38,940.957
DCTN3,386.054,223.459,348.434,1364.87,544.112,273.706,198.176,235.498,195.198
DCTN4,1087.21,1429.08,1154.59,484.996,915.261,1411.79,1100.51,1065.13,992.009
DCTN5,922.357,1085.5,859.181,745.518,815.567,748.74,751.241,855.796,787.801
DCTN6,231.633,315.316,232.65,178.597,215.002,374.37,245.26,257.047,202.206
DCTPP1,126.25,93.6233,119.03,321.146,154.946,130.614,164.444,181.626,173.176
DCUN1D1,232.676,314.433,260.784,104.864,258.243,580.69,193.959,167.773,197.2
DCUN1D2,99.122,128.07,136.344,95.0331,67.2633,66.5547,167.957,138.528,147.15
DCUN1D3,81.3844,113.938,109.291,143.369,120.113,380.194,105.413,138.528,168.171
DCUN1D4,454.918,487.548,352.762,287.557,566.933,869.371,524.252,415.584,502.511
DCUN1D5,233.719,236.708,167.724,389.963,305.087,495.832,267.045,213.949,222.226
DCX,10.4339,12.3653,19.4777,1,2.40226,1,1190.46,1149.78,922.938
DCXR,111.643,66.2429,88.7316,697.182,595.76,81.5295,73.7888,93.8913,70.0712
DDA1,180.506,116.588,228.321,350.639,166.957,235.437,255.099,346.32,306.311
DDAH1,173.203,224.343,179.627,929.03,976.519,4183.79,824.327,658.778,559.569
DDAH2,411.096,229.642,656.83,813.516,180.169,181.362,441.327,761.905,659.671
DDB1,2331.98,2411.24,2394.67,2683.86,1983.07,2079,2301.51,2715.15,2232.27
DDB2,536.302,402.757,381.979,712.748,409.585,431.774,334.509,364.791,391.398
DDHD1,143.988,171.348,136.344,131.899,336.316,254.572,309.913,272.439,276.281
DDHD2,407.965,514.928,349.516,148.284,380.758,403.488,714.698,581.818,628.639
DDI2,33.3885,82.1412,49.7762,1,34.8328,29.9496,20.3798,27.7056,22.0224
DDIAS,94.9485,106.872,71.4181,44.2395,60.0565,86.5211,101.899,63.1072,81.0824
DDIT3,132.511,129.836,76.8285,856.117,323.104,2366.02,132.82,132.371,289.294
DDIT4,185.723,149.267,159.068,675.062,457.63,890.169,187.634,281.674,394.401
DDIT4L,2.08678,6.18267,1.08209,47.5165,74.4701,143.093,97.6824,96.9697,160.163
DDN,3.13017,1.76648,3.24628,4.09625,1,1,11.244,9.23521,14.0142
DDO,17.7376,16.7815,18.3956,1,1,24.958,36.543,27.7056,45.0458
DDOST,3459.88,2761,3152.13,5443.1,2752.99,1954.21,2610.72,3126.12,2614.66
DDR1,5032.27,3277.7,6144.12,203.174,100.895,108.983,4289.59,6162.96,4657.74
DDR2,42.779,75.9585,48.6941,143.369,1226.35,2222.09,79.4108,141.607,190.193
DDRGK1,137.727,90.0903,152.575,645.569,184.974,179.698,205.906,287.831,237.241
DDT,87.6447,69.7759,87.6495,652.943,239.025,140.597,43.5705,53.872,52.0529
DDTL,61.56,45.0452,27.0523,45.878,162.153,12.479,30.2183,41.5584,28.0285
DDX1,1275.02,1514.75,1231.42,1224.78,1671.97,2231.25,1075.21,857.335,918.934
DDX10,191.984,249.073,168.806,163.031,190.98,1111.46,281.803,167.773,238.242
DDX11,306.757,189.896,268.359,320.327,218.606,111.479,300.777,318.615,329.335
DDX11L2,109.556,63.5932,67.0897,29.493,12.0113,46.5883,11.244,21.5488,4.00407
DDX12P,166.942,99.806,112.538,117.153,96.0904,5.82354,117.359,146.224,103.105
DDX17,7024.1,7658.56,6028.34,3440.85,4627.95,3284.47,6690.89,5498.03,5687.78
DDX18,494.567,602.369,581.084,285.099,804.757,1162.21,475.762,386.339,468.476
DDX19A,541.519,461.051,493.434,454.684,566.933,490.841,454.68,487.927,445.453
DDX19B,260.847,190.78,216.418,267.076,165.756,341.093,190.445,192.4,194.197
DDX20,233.719,300.301,213.172,116.334,282.266,359.395,247.368,175.469,173.176
DDX21,597.862,839.077,670.897,231.029,1048.59,2620.59,695.021,668.013,878.894
DDX23,1169.64,1143.79,1022.58,992.932,787.941,685.513,948.011,921.981,918.934
DDX24,1383.53,1605.73,1218.44,1388.63,1299.62,2576.5,1802.56,1531.51,1781.81
DDX26B,109.556,126.303,75.7465,50.7935,82.878,56.5715,163.741,123.136,143.146
DDX27,448.658,334.747,380.896,741.422,446.82,377.698,375.972,332.467,334.34
DDX28,57.3864,54.7608,48.6941,172.862,55.252,95.6724,54.8146,70.8033,62.0631
DDX31,69.9071,88.3239,84.4032,90.9368,103.297,203.824,125.09,140.067,124.126
DDX39A,515.435,343.58,526.979,752.891,224.611,218.799,481.384,591.053,515.524
DDX39B,2033.57,1906.03,1465.15,3045.15,1650.35,1480.84,1831.37,1714.67,1678.71
DDX3X,2339.28,3083.39,2400.08,1355.04,2728.97,3227.07,3331.04,3470.9,3248.3
DDX3Y,620.817,668.612,486.941,284.28,719.477,1188.83,1,1,1
DDX41,516.478,324.149,469.628,866.767,350.73,367.715,487.006,766.522,544.554
DDX42,1266.68,1222.4,1059.37,1008.5,1250.38,1376.02,1380.2,1254.45,1301.32
DDX46,781.499,886.772,831.047,340.808,711.069,697.16,720.32,638.768,619.63
DDX47,473.699,499.913,390.635,627.546,639.001,925.942,354.889,292.448,277.282
DDX49,152.335,95.3898,196.941,421.095,139.331,152.244,168.66,318.615,262.267
DDX5,7319.38,7337.95,6062.96,3136.91,5351.03,6897.56,9228.52,7676,7961.09
DDX50,341.188,334.747,339.777,389.144,485.256,671.37,283.209,250.89,262.267
DDX51,106.426,91.8568,122.276,185.97,188.577,34.1093,150.389,189.322,147.15
DDX52,462.222,496.38,420.934,430.106,1063,599.824,512.305,464.839,454.462
DDX54,177.376,101.572,340.859,587.403,413.189,198,255.801,344.781,346.352
DDX55,165.899,121.887,75.7465,190.885,188.577,195.504,241.746,181.626,214.218
DDX56,501.87,370.96,420.934,1125.65,548.916,585.681,618.421,584.896,579.589
DDX58,444.484,521.111,388.471,115.514,153.745,4134.71,674.641,586.436,1024.04
DDX59,124.163,130.719,113.62,68.817,123.716,209.647,91.3576,93.8913,78.0794
DDX6,2041.91,2772.49,2175.01,814.335,1596.3,1722.93,2008.46,1542.28,1591.62
DDX60,230.589,239.358,236.978,56.5283,246.232,2181.33,437.111,323.232,667.679
DDX60L,252.5,261.439,229.404,67.9978,192.181,2099.8,836.273,606.445,1108.13
DEAF1,146.075,67.1261,209.926,294.111,111.705,118.967,236.827,404.81,302.307
DECR1,617.687,678.327,455.561,929.03,736.293,732.102,459.599,432.516,388.395
DECR2,59.4732,12.3653,42.2016,312.954,130.923,48.2521,56.2201,101.587,63.0641
DEDD,458.048,374.493,344.105,400.613,242.628,302.824,347.159,330.928,370.377
DEDD2,85.558,31.7966,69.2539,334.254,79.2746,126.454,62.5448,90.8129,87.0885
DEF6,1,1,1,52.432,62.4588,6.65547,2.811,4.6176,4.00407
DEF8,233.719,189.896,293.247,777.469,243.829,330.278,231.205,283.213,263.268
DEGS1,907.749,969.796,892.726,1135.48,1261.19,1534.09,1217.16,957.383,939.956
DEK,1101.82,1562.45,1145.94,783.203,1407.72,2720.42,1217.87,825.012,950.967
DENND1A,175.289,156.333,205.598,417.818,378.356,574.034,176.39,283.213,218.222
DENND1B,70.9505,98.0395,81.1569,45.878,67.2633,252.076,59.0311,53.872,78.0794
DENND2A,886.881,749.87,879.741,450.588,428.803,84.8572,312.724,406.349,281.286
DENND2C,3.13017,4.41619,8.65674,1,42.0395,15.8067,4.2165,4.6176,8.00814
DENND2D,8.34712,9.71563,8.65674,31.9508,32.4305,58.2354,10.5413,4.6176,7.00712
DENND3,53.2129,36.2128,56.2688,171.223,87.6825,86.5211,134.225,152.381,115.117
DENND4A,208.678,267.621,218.583,80.2865,235.421,482.521,134.225,101.587,131.133
DENND4B,399.618,302.068,443.658,330.977,151.342,272.874,413.92,504.858,479.487
DENND4C,650.032,809.047,638.434,145.827,918.864,608.143,437.111,518.711,505.514
DENND5A,1526.48,1681.69,1648.03,401.433,920.065,1051.56,1603.68,1660.8,1581.61
DENND5B,726.199,960.08,875.413,47.5165,127.32,191.345,724.536,651.082,720.733
DENND6A,244.153,268.505,241.307,138.453,133.325,76.5379,271.262,226.263,246.25
DENND6B,43.8224,14.1318,54.1046,95.0331,1,14.9748,68.1668,115.44,78.0794
DENR,593.689,712.774,622.203,599.691,557.324,979.186,771.62,600.288,700.712
DEPDC1,331.798,438.086,324.628,145.007,200.589,304.488,255.099,189.322,172.175
DEPDC1B,169.029,246.424,150.411,19.662,31.2294,57.4034,121.576,69.264,82.0835
DEPDC5,154.422,120.12,112.538,56.5283,37.235,39.1009,111.035,124.675,135.137
DEPDC7,13.5641,10.5989,19.4777,49.155,73.2689,146.42,55.5173,18.4704,23.0234
DEPTOR,5.21695,5.29943,15.1493,19.662,1.20113,4.9916,16.866,24.6272,14.0142
DERA,260.847,326.798,212.09,273.63,439.614,417.631,120.17,98.5089,92.0936
DERL1,558.214,577.638,607.054,577.572,550.117,733.765,701.345,706.493,681.693
DERL2,338.058,264.088,298.657,635.738,443.217,430.942,278.992,273.978,297.302
DERL3,22.9546,5.29943,11.903,27.0353,7.20678,1,21.7853,32.3232,20.0204
DES,5.21695,2.64972,2.16418,86.0213,99.6938,21.6303,90.6548,100.048,56.057
DESI1,365.186,334.747,321.381,483.358,460.033,643.917,498.953,507.936,424.432
DESI2,1667.34,2084.44,1559.29,385.048,709.868,1418.45,661.991,531.024,617.628
DET1,102.252,84.7909,50.8583,61.4438,63.6599,121.462,36.543,75.4209,55.056
DEXI,118.946,125.42,141.754,703.736,212.6,163.891,114.548,160.077,104.106
DFFA,235.806,197.845,284.59,304.761,272.656,207.151,144.767,172.391,158.161
DFFB,80.341,58.2938,68.1718,72.9133,44.4418,25.7899,70.9778,55.4112,80.0814
DFNA5,157.552,194.313,170.971,259.702,264.249,544.085,271.965,189.322,252.256
DFNB31,69.9071,42.3955,102.799,39.324,21.6203,19.1345,64.6531,69.264,104.106
DFNB59,12.5207,14.1318,6.49255,36.8663,20.4192,6.65547,28.8128,12.3136,25.0254
DGAT1,309.887,166.932,319.217,409.625,337.517,108.151,156.713,217.027,212.216
DGAT2,4.17356,1,7.57465,11.4695,6.00565,7.4874,20.3798,29.2448,43.0438
DGAT2L6,68.8637,43.2787,29.2165,1,1,1,1.4055,1,1
DGCR11,15.6508,22.081,23.806,13.108,8.40791,11.6471,21.7853,35.4016,16.0163
DGCR14,92.8617,48.5781,126.605,201.536,43.2407,79.0337,96.9796,141.607,133.135
DGCR2,1117.47,619.15,1460.82,838.093,308.69,418.463,1268.47,2030.21,1494.52
DGCR5,11.4773,10.5989,12.9851,14.7465,1.20113,36.6051,21.0825,23.088,36.0366
DGCR6,55.2997,16.7815,74.6644,115.514,88.8836,20.7983,29.5155,47.7152,45.0458
DGCR6L,68.8637,36.2128,183.956,817.612,508.078,108.151,149.686,217.027,201.205
DGCR8,415.269,352.412,376.568,363.747,254.64,202.992,571.336,651.082,561.571
DGKA,391.271,357.712,232.65,415.36,217.405,515.799,240.341,169.312,217.221
DGKD,159.639,127.186,204.515,94.2138,91.2859,81.5295,550.957,794.228,712.725
DGKE,44.8658,42.3955,31.3807,65.54,56.4531,85.6892,68.8696,69.264,57.058
DGKG,7.30373,16.7815,12.9851,1,1,1,47.0843,44.6368,36.0366
DGKH,77.2108,76.8418,53.0225,137.634,199.388,302.824,281.803,172.391,210.214
DGKI,20.8678,40.629,38.9553,9.01175,43.2407,13.3109,5.62201,10.7744,8.00814
DGKQ,109.556,31.7966,135.262,167.127,54.0508,83.1934,94.8714,167.773,157.16
DGKZ,37.562,22.081,80.0748,67.1785,55.252,25.7899,82.9246,115.44,126.128
DGUOK,223.285,207.561,217.501,852.84,320.702,369.379,252.288,227.802,234.238
DHCR24,3634.13,3473.78,3789.49,4598.45,3939.71,1923.43,3116,3549.4,2778.83
DHCR7,709.505,616.501,886.233,1645.05,421.597,527.446,1171.49,1868.59,1347.37
DHDDS,352.666,328.565,293.247,576.752,395.172,438.429,426.57,424.82,420.427
DHFR,557.17,658.013,518.322,339.989,635.398,358.563,810.974,734.199,586.596
DHFRL1,154.422,142.201,151.493,54.0705,124.918,72.3782,58.3283,63.1072,48.0489
DHODH,49.0393,47.6949,60.5972,41.7818,12.0113,30.7815,52.7063,33.8624,66.0672
DHPS,391.271,256.139,371.158,780.746,201.79,264.555,163.741,287.831,230.234
DHRS1,136.684,93.6233,159.068,313.773,105.699,73.2102,128.603,126.214,115.117
DHRS11,56.343,58.2938,59.5151,56.5283,32.4305,32.4454,33.0293,33.8624,31.0315
DHRS12,54.2563,33.5631,45.4479,59.8053,37.235,39.1009,33.732,36.9408,34.0346
DHRS13,55.2997,32.6798,51.9404,74.5518,80.4757,29.9496,109.629,129.293,104.106
DHRS2,5.21695,1.76648,1.08209,1,1,78.2018,1,1,11.0112
DHRS3,12.5207,13.2486,15.1493,197.439,218.606,117.303,80.8163,95.4305,106.108
DHRS4,44.8658,22.081,34.6269,408.806,144.136,113.143,43.5705,41.5584,26.0265
DHRS4-AS1,93.9051,109.522,77.9106,87.6598,186.175,131.446,70.9778,78.4993,59.06
DHRS4L2,23.998,17.6648,14.0672,1077.31,1160.29,123.126,16.1633,35.4016,24.0244
DHRS7,330.755,355.062,315.971,766.818,491.262,381.858,516.522,489.466,442.45
DHRS7B,79.2976,85.6741,83.3211,278.545,61.2576,114.807,80.8163,132.371,81.0824
DHRSX,199.287,194.313,170.971,475.165,186.175,260.395,246.666,206.253,184.187
DHTKD1,372.49,434.553,410.113,79.4673,177.767,42.4286,271.965,284.752,265.27
DHX15,1427.36,1738.21,1310.41,679.159,1298.42,1830.25,1357.01,1246.75,1258.28
DHX16,335.972,279.103,374.404,521.863,228.215,218.799,371.052,457.143,447.455
DHX29,536.302,686.276,490.188,345.724,878.026,1096.49,504.575,358.634,460.468
DHX30,709.505,450.452,934.928,386.686,198.186,439.261,699.94,1151.32,850.865
DHX32,453.875,579.405,354.926,294.111,439.614,524.95,465.221,441.751,431.439
DHX33,353.709,353.295,334.366,153.2,904.451,159.731,383.702,380.183,430.438
DHX34,93.9051,50.3446,117.948,118.791,90.0847,84.0253,115.954,186.243,160.163
DHX35,104.339,121.887,78.9927,86.8405,106.901,59.8992,111.737,147.763,122.124
DHX36,517.521,623.566,565.934,145.007,397.574,804.48,494.034,390.957,447.455
DHX37,100.165,56.5273,135.262,163.031,300.282,144.756,125.792,240.115,204.208
DHX38,723.069,642.115,814.815,522.682,427.602,341.925,617.718,834.247,679.691
DHX40,1414.84,1631.34,1371.01,253.148,582.548,808.639,824.327,738.817,708.721
DHX57,387.098,460.167,380.896,209.728,327.908,439.261,425.867,298.605,340.346
DHX58,16.6942,1.76648,12.9851,183.512,68.4644,241.261,70.9778,129.293,201.205
DHX8,591.602,675.678,507.501,364.566,456.429,505.816,430.786,492.544,466.474
DHX9,2490.57,2966.8,2291.87,926.572,1811.3,2217.94,2172.2,1953.25,1959.99
DIABLO,560.3,538.776,581.084,766.818,479.251,499.992,368.241,344.781,361.367
DIAPH1,1071.56,1146.44,1144.85,678.339,647.409,519.127,1064.67,1049.74,941.958
DIAPH2,57.3864,69.7759,63.8434,77.8288,181.371,183.025,29.5155,21.5488,25.0254
